"GeneID","GeneName","log2FC","PValue","adj.PValue"
"ENSG00000000005","TNMD",-8.22242726102546,1.13668300330898e-05,0.000817969577295007
"ENSG00000000460","C1orf112",1.27175890238479,0.0198669784779637,0.0688691672252312
"ENSG00000000938","FGR",-3.09305335947002,0.000177035375611977,0.003730563627695
"ENSG00000000971","CFH",-4.50283315217709,4.4629040158557e-07,0.000175151272685765
"ENSG00000001167","NFYA",1.07584985242592,0.00718186621713033,0.0360551557804157
"ENSG00000001561","ENPP4",-1.38501210893167,0.0457257633077267,0.120081731044455
"ENSG00000001617","SEMA3F",1.67887556478988,0.00193895492540181,0.015927129744372
"ENSG00000001626","CFTR",-3.2763882202795,0.0151180932573464,0.0575674462079047
"ENSG00000002330","BAD",1.30012657161075,0.0115790665532876,0.0484009460441725
"ENSG00000002586","CD99",-1.57287802918364,0.00569697538454142,0.0310538836469202
"ENSG00000002587","HS3ST1",-1.42158707361233,0.00953165286784202,0.0429271079574654
"ENSG00000003096","KLHL13",-2.32333677528666,0.0376710355327054,0.105453580278395
"ENSG00000003137","CYP26B1",-4.77308001957051,2.93507228596871e-07,0.000156717281622259
"ENSG00000003147","ICA1",1.0650029682353,0.00971743138057381,0.0435100405551348
"ENSG00000003249","DBNDD1",3.63068873474874,0.000104560164336394,0.00272993670878282
"ENSG00000003400","CASP10",-2.46773045973463,0.00220591731769821,0.0171621477910913
"ENSG00000003402","CFLAR",-2.3634106835891,0.000189462637466794,0.00390371975947206
"ENSG00000004059","ARF5",1.38651702965351,0.00840820882548024,0.0397348935798928
"ENSG00000004468","CD38",-2.7530715853908,0.00284003073687701,0.0200056296208786
"ENSG00000004478","FKBP4",2.67769261926173,2.42617008418488e-05,0.00121431286096096
"ENSG00000004700","RECQL",-1.23119967932546,0.0105254902945469,0.0456621611595265
"ENSG00000004776","HSPB6",-5.13915938278596,0.000747705146783719,0.00901063326537389
"ENSG00000004777","ARHGAP33",1.51739351504579,0.0209145214020685,0.0711120940587106
"ENSG00000004799","PDK4",-4.8293994563275,0.000196810670178133,0.00398808759324845
"ENSG00000004838","ZMYND10",3.52984382504629,0.00696567588289048,0.035422940395818
"ENSG00000004846","ABCB5",-5.93985432215441,0.000214196314929442,0.00418656433725727
"ENSG00000004848","ARX",4.87482080854669,0.0239900233700258,0.0776887135329259
"ENSG00000004939","SLC4A1",-4.33736545739189,0.00211540761854975,0.0167585560296836
"ENSG00000005001","PRSS22",3.85401288704942,0.00287169217440656,0.0201540133443662
"ENSG00000005020","SKAP2",-2.75565298761781,0.000420447923215224,0.00630416913371523
"ENSG00000005075","POLR2J",1.597425138973,0.00346720471229897,0.0225774655021312
"ENSG00000005102","MEOX1",-5.96029231091275,3.76874759413919e-05,0.00156079260278542
"ENSG00000005108","THSD7A",-3.88385242418224,6.48527911417549e-05,0.00211824468001412
"ENSG00000005156","LIG3",1.50546046049009,0.00514100158959308,0.029120564559608
"ENSG00000005206","SPPL2B",1.00198351997562,0.011580990770367,0.0484009460441725
"ENSG00000005243","COPZ2",-2.50174879954748,0.00101914535853674,0.0107869730264644
"ENSG00000005249","PRKAR2B",-4.12075076347023,0.000384136330240813,0.00600744513928153
"ENSG00000005448","WDR54",1.86981065904976,0.00313140819758375,0.0211946530756251
"ENSG00000005486","RHBDD2",1.69926319524014,0.000364513985641308,0.00588290358680244
"ENSG00000005801","ZNF195",1.13695743522656,0.0128160250753326,0.0517095659248694
"ENSG00000005810","MYCBP2",-2.96546374380972,5.5010004666288e-05,0.00193207776053818
"ENSG00000005882","PDK2",-1.56228450228689,0.0464705487554632,0.121309020740559
"ENSG00000005981","ASB4",-2.05134052465046,0.0468075234131041,0.121905511657482
"ENSG00000006015","REX1BD",1.21643773068502,0.0267641703525469,0.0835430011320189
"ENSG00000006059","KRT33A",3.65437207943447,0.0360749809297498,0.102288654147334
"ENSG00000006062","MAP3K14",-1.09749503536188,0.0164893839577812,0.0608542157684495
"ENSG00000006071","ABCC8",2.69637516467096,0.04640983626247,0.121221550981362
"ENSG00000006118","TMEM132A",4.33283158082217,5.99683362028234e-05,0.00201730219403375
"ENSG00000006210","CX3CL1",-2.10672413475162,0.0303093381611637,0.0909111338040352
"ENSG00000006283","CACNA1G",-1.8875568334617,0.0176331406560216,0.0636280506013037
"ENSG00000006327","TNFRSF12A",2.57158938310117,0.029019204157291,0.0881413642674936
"ENSG00000006453","BAIAP2L1",2.51165989702667,0.00100750899612503,0.0107142623351361
"ENSG00000006459","KDM7A",-1.73739417272019,0.00172893293369772,0.0148739967939026
"ENSG00000006468","ETV1",-1.79781198980895,0.00972022584929569,0.0435100405551348
"ENSG00000006606","CCL26",-1.94965948751443,0.0193323731706309,0.0675703882730915
"ENSG00000006625","GGCT",1.90275098310011,0.000689063366861099,0.0085568721569871
"ENSG00000006634","DBF4",1.3284172326249,0.0139557702587293,0.0545543746477599
"ENSG00000006704","GTF2IRD1",1.9294187936697,2.7599869859327e-05,0.00131232073513819
"ENSG00000007047","MARK4",1.51886756212497,0.00163564139272871,0.0143970215148513
"ENSG00000007080","CCDC124",1.60679636159774,0.00850511930107768,0.0400169504698659
"ENSG00000007129","CEACAM21",-1.82156680557145,0.0428196362285853,0.114677586918719
"ENSG00000007174","DNAH9",-3.36334241396629,0.00945041463308006,0.0427403515278772
"ENSG00000007237","GAS7",-4.25412729430436,4.45563769948479e-05,0.00170290662686673
"ENSG00000007255","TRAPPC6A",2.21331133575866,1.6219994184724e-05,0.000993290087217093
"ENSG00000007306","CEACAM7",3.54724351187399,0.0220952273732134,0.0735466473886243
"ENSG00000007312","CD79B",-1.85315363384883,0.0202481557434331,0.0696926530420168
"ENSG00000007314","SCN4A",-6.60300266332968,1.02346831375264e-06,0.000243319750553211
"ENSG00000007350","TKTL1",-4.48864297136921,0.000479104327919816,0.00679602924715389
